"","s1","s2","z","stratum"
"1",201542,464355.5,76.3603819417903,"XF"
"2",201567,464355.5,118.851515678523,"XF"
"3",201592,464355.5,41.3431661273953,"PA"
"4",201617,464355.5,50.2861941794951,"PA"
"5",201642,464355.5,31.2980511462381,"PA"
"6",201667,464355.5,28.0929417113459,"PA"
"7",201692,464355.5,40.5058840384175,"PA"
"8",201717,464355.5,45.0544634555475,"PA"
"9",201742,464355.5,51.5987854599707,"PA"
"10",201767,464355.5,107.793901097026,"XF"
"11",201842,464355.5,84.9969209907547,"XF"
"12",201992,464355.5,101.74696293015,"XF"
"13",202017,464355.5,76.5526941946323,"BA"
"14",202042,464355.5,47.0363934529976,"BA"
"15",202067,464355.5,41.4883179296098,"BA"
"16",202092,464355.5,69.1150241181821,"XF"
"17",202142,464355.5,69.4536231417979,"BA"
"18",202167,464355.5,113.141108556679,"BA"
"19",202192,464355.5,99.2675620450342,"BA"
"20",202217,464355.5,123.530404038653,"BA"
"21",202242,464355.5,88.9899961062208,"BA"
"22",202267,464355.5,90.7013439074278,"BA"
"23",202292,464355.5,87.2765557493035,"BA"
"24",202317,464355.5,182.446702949091,"BA"
"25",202342,464355.5,160.530057207421,"BA"
"26",202367,464355.5,392.383053770731,"XF"
"27",202392,464355.5,247.696136707787,"XF"
"28",202417,464355.5,135.027180241065,"XF"
"29",202442,464355.5,154.494612543911,"XF"
"30",202467,464355.5,133.397760089494,"BA"
"31",202492,464355.5,249.130001230256,"BA"
"32",202517,464355.5,212.012371782124,"BA"
"33",202542,464355.5,166.560537095511,"BA"
"34",202567,464355.5,179.806397565909,"BA"
"35",202592,464355.5,159.183235243997,"BA"
"36",202617,464355.5,183.256002171952,"BA"
"37",202642,464355.5,240.941530198603,"BA"
"38",202667,464355.5,191.38648634802,"BA"
"39",202692,464355.5,114.551608172548,"BA"
"40",202717,464355.5,107.378772600078,"BA"
"41",202742,464355.5,115.208736884266,"BA"
"42",202767,464355.5,81.3321163548815,"BA"
"43",202792,464355.5,87.8933203041545,"BA"
"44",202817,464355.5,54.872432475292,"BA"
"45",202892,464355.5,158.098930230685,"BA"
"46",202942,464355.5,152.536124093273,"XF"
"47",202967,464355.5,130.467639293888,"XF"
"48",202992,464355.5,73.2602223002892,"BA"
"49",203292,464355.5,93.2046995982508,"PA"
"50",203317,464355.5,102.453284018865,"PA"
"51",203342,464355.5,116.188428942408,"PA"
"52",203367,464355.5,68.2578435157131,"PA"
"53",203392,464355.5,60.5133082407107,"PA"
"54",203417,464355.5,58.0987575809291,"PA"
"55",203442,464355.5,64.4333152834429,"PA"
